path_a,split_a,stem_a,path_b,split_b,stem_b,min_phash_dist,dhash_dist,cosine_sim,good_matches,ransac_inliers,inlier_ratio,containment_a_in_b,containment_b_in_a,homography_found
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_245.jpg,train,SANAS_NUEVAS_245,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_NUEVAS_80.jpg,val,SANAS_NUEVAS_80,-1,-1,0.9014902114868164,16,4,0.25,0.0024822792,0.001805294,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\MINADOR_43.jpg,train,MINADOR_43,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\MINEIRO_80.jpg,val,MINEIRO_80,-1,-1,0.9188901782035828,12,5,0.4166666666666667,0.00019982657,0.0002283732,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\ROYA_FONDO_16.jpg,test,ROYA_FONDO_16,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\ROYA_FONDO_47.jpg,train,ROYA_FONDO_47,-1,-1,0.9140003323554993,14,5,0.35714285714285715,0.00010046959,0.00010046959,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\MINEIRO_148.jpg,train,MINEIRO_126,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\MINEIRO_126.jpg,test,MINEIRO_148,12,26,0.914401113986969,18,4,0.2222222222222222,9.7592674e-05,9.7592674e-05,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\MINADO_RECORTES_131.jpg,test,MINADO_RECORTES_131,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\MINADO_RECORTES_116.jpg,train,MINADO_RECORTES_116,-1,-1,0.9247542023658752,26,12,0.46153846153846156,0.9991405,0.9991405,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\COCO_P_A_39.jpg,test,COCO_P_A_39,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\ROYA_MA_26.jpg,train,ROYA_MA_26,-1,-1,0.9099291563034058,10,5,0.5,7.3305764e-06,8.145085e-06,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\COCO_P_A_33.jpg,test,COCO_P_A_33,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_438.jpg,train,SANAS_NUEVAS_438,-1,-1,0.8854228258132935,12,6,0.5,0.0017802037,0.001958224,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_183.jpg,train,SANAS_NUEVAS_183,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_NUEVAS_118.jpg,val,SANAS_NUEVAS_118,-1,-1,0.9430108666419983,13,4,0.3076923076923077,0.0024220785,0.0030275981,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\COCO_M_A_35.jpg,test,COCO_M_A_35,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_20.jpg,train,COCO_Muy_A_20,-1,-1,0.9225373268127441,35,4,0.11428571428571428,4.331271e-07,2.8875138e-07,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_366.jpg,train,SANAS_NUEVAS_366,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_SOCORRO_203.jpg,val,SANAS_SOCORRO_203,-1,-1,0.8746082782745361,20,3,0.15,1.8584423e-07,1.6106499e-07,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\COCO_Muy_A_28.jpg,test,COCO_Muy_A_28,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_110.jpg,train,COCO_Muy_A_110,-1,-1,0.9158926606178284,11,4,0.36363636363636365,0.003645155,0.0032806396,True
